frequency_filtre,NF_01_filtre,S11_01_filtre,S21_01_filtre,S12_01_filtre,S22_01_filtre,NF_01s_filtre,S11_01s_filtre,S21_01s_filtre,S12_01s_filtre,S22_01s_filtre,NF_02_filtre,S11_02_filtre,S21_02_filtre,S12_02_filtre,S22_02_filtre,NF_02s_filtre,S11_02s_filtre,S21_02s_filtre,S12_02s_filtre,S22_02s_filtre,NF_03_filtre,S11_03_filtre,S21_03_filtre,S12_03_filtre,S22_03_filtre,NF_03s_filtre,S11_03s_filtre,S21_03s_filtre,S12_03s_filtre,S22_03s_filtre
64569000000,6.3256402,-15.175026,10.948977,-49.726593,-8.6132612,6.8165855,-13.845302,11.151697,-56.687096,-8.5670967,6.7119489,-13.991644,10.715211,-47.865089,-8.6342735,6.3486142,-13.991644,10.715211,-47.865089,-8.6342735,8.009758,-14.646007,9.3937235,-49.075783,-10.02669,7.7482009,-14.74038,9.389864,-55.221123,-10.002017
64586000000,6.380537,-15.132355,10.943051,-47.800949,-8.7059698,6.8880434,-13.828642,11.146097,-57.772434,-8.6666384,4.6508179,-14.010906,10.710821,-54.641663,-8.7161837,6.8665318,-14.010906,10.710821,-54.641663,-8.7161837,7.0298972,-14.768282,9.3904743,-58.766502,-10.107825,7.9140172,-14.789777,9.3854618,-58.212322,-10.101099
64603000000,5.1652846,-15.013147,10.916023,-53.758793,-8.7983255,6.7268615,-13.683745,11.119487,-48.043621,-8.7533541,5.5757208,-13.951819,10.683046,-67.134399,-8.776783,6.6598306,-13.951819,10.683046,-67.134399,-8.776783,6.9314651,-14.532356,9.3657045,-48.715324,-10.136805,7.6506419,-14.683739,9.3630676,-53.789108,-10.15855
64620000000,7.771522,-14.79521,10.899137,-52.642296,-8.825387,6.5241475,-13.576519,11.104279,-49.260784,-8.8028374,7.9692459,-13.753344,10.663899,-54.361713,-8.7905598,6.3186054,-13.753344,10.663899,-54.361713,-8.7905598,9.3139782,-14.380579,9.3474503,-63.142838,-10.134399,7.5131469,-14.432223,9.3459949,-52.504627,-10.163181
64637000000,6.9901052,-14.766942,10.912811,-59.751877,-8.8089523,6.6818233,-13.419695,11.116502,-51.431274,-8.7784319,8.1046715,-13.540389,10.674225,-49.774574,-8.766715,6.2941227,-13.540389,10.674225,-49.774574,-8.766715,6.5938034,-14.251182,9.3524561,-62.045799,-10.096915,7.5704074,-14.211382,9.349884,-62.035896,-10.110447
64654000000,8.5294485,-14.964437,10.897079,-60.801914,-8.7615166,8.1049013,-13.482023,11.099759,-45.2691,-8.7195435,8.8485918,-13.799403,10.65979,-46.84029,-8.7506514,8.0608702,-13.799403,10.65979,-46.84029,-8.7506514,9.4736586,-14.445349,9.3361521,-53.52607,-10.092038,9.0021257,-14.469048,9.3326855,-55.844158,-10.091921
64671000000,6.3378057,-15.092787,10.89123,-59.06282,-8.74018,9.0226679,-13.652711,11.096047,-53.72485,-8.7006168,6.2609606,-13.76513,10.654466,-58.514637,-8.7565222,9.0985746,-13.76513,10.654466,-58.514637,-8.7565222,6.9368882,-14.447233,9.3321753,-49.003448,-10.122787,9.8143129,-14.524887,9.3283587,-61.338791,-10.111005
64688000000,7.4343171,-15.219427,10.868551,-50.387989,-8.8000765,9.1894636,-13.760653,11.071433,-53.340294,-8.7490301,7.3855109,-13.874325,10.633625,-50.828918,-8.8229399,9.4217396,-13.874325,10.633625,-50.828918,-8.8229399,7.4766474,-14.643651,9.3138418,-49.956726,-10.209919,9.9766979,-14.68888,9.3092031,-52.531155,-10.195279
64705000000,6.6116033,-15.377431,10.817603,-51.03273,-8.9020014,9.1183548,-14.080182,11.017881,-53.774654,-8.8514862,5.9492135,-14.314384,10.58744,-66.533073,-8.9238558,9.5830984,-14.314384,10.58744,-66.533073,-8.9238558,8.0541277,-14.9879,9.2696848,-58.81332,-10.313398,9.9262753,-14.944724,9.2646675,-53.083832,-10.300824
64722000000,4.5324316,-15.036836,10.831542,-52.745293,-9.0261936,9.0135498,-13.730525,11.032969,-50.624924,-8.9807777,4.6502728,-14.073445,10.596185,-51.813671,-9.0105686,9.3862782,-14.073445,10.596185,-51.813671,-9.0105686,7.7150664,-14.629138,9.2788811,-47.00938,-10.404681,9.7281561,-14.715808,9.2738838,-57.710472,-10.405558
64739000000,21.042282,-14.824148,10.808249,-65.161278,-9.0900402,9.1021624,-13.590004,11.013225,-48.810776,-9.072051,22.562614,-13.727082,10.573429,-50.934921,-9.0518656,9.4364891,-13.727082,10.573429,-50.934921,-9.0518656,21.488089,-14.467072,9.2528009,-49.951866,-10.405165,9.9352665,-14.383242,9.2512426,-54.444107,-10.448418
64756000000,16.504465,-14.616467,10.816354,-46.502399,-9.1035213,9.2152872,-13.660659,11.02348,-49.398891,-9.0837269,18.126701,-13.705135,10.575035,-49.098602,-9.0446959,9.5430365,-13.705135,10.575035,-49.098602,-9.0446959,16.943823,-14.179133,9.2544498,-48.092808,-10.403408,10.024562,-14.328154,9.2545767,-51.571411,-10.433775
64773000000,7.2645879,-14.811519,10.782327,-55.404472,-9.0726538,10.048652,-13.40421,10.985019,-48.83112,-9.0343199,8.2056313,-13.457315,10.538056,-48.430645,-9.0202265,10.407924,-13.457315,10.538056,-48.430645,-9.0202265,8.8161306,-14.223219,9.2226505,-48.065441,-10.410732,10.77059,-14.360892,9.220767,-49.811218,-10.430135
64790000000,6.8052902,-14.920723,10.778903,-47.390408,-9.0306072,10.660289,-13.660641,10.981745,-65.631508,-8.9933643,7.3506694,-13.609925,10.540467,-46.492554,-9.0112171,11.110845,-13.609925,10.540467,-46.492554,-9.0112171,6.3768187,-14.341621,9.218461,-47.679466,-10.425437,11.408936,-14.448999,9.21772,-61.998566,-10.426204
64807000000,5.9778352,-15.257718,10.762115,-53.161041,-9.0514841,9.5990009,-13.803095,10.96454,-54.463093,-8.9906063,5.8042192,-13.95928,10.530545,-57.729454,-9.0469847,10.573719,-13.95928,10.530545,-57.729454,-9.0469847,7.1346617,-14.668653,9.2083416,-49.419456,-10.480932,10.989896,-14.670535,9.2037201,-49.207581,-10.458545
64824000000,7.6107554,-15.363285,10.750516,-45.799076,-9.1220789,9.9019957,-13.974766,10.954006,-50.827591,-9.061799,8.656991,-14.124154,10.519448,-58.662949,-9.1047716,11.124585,-14.124154,10.519448,-58.662949,-9.1047716,8.8720236,-14.908442,9.1974955,-46.226833,-10.55298,11.192484,-14.866753,9.1923838,-49.818432,-10.524498
64841000000,9.3139572,-15.243454,10.712658,-54.635208,-9.227396,8.7768755,-13.805577,10.914528,-42.743252,-9.179635,10.020617,-14.233681,10.481033,-58.026554,-9.2014256,9.9140759,-14.233681,10.481033,-58.026554,-9.2014256,10.455909,-14.810987,9.1624298,-53.660862,-10.61902,10.09289,-14.917522,9.1600657,-54.581013,-10.629573
64858000000,14.775878,-14.796209,10.682121,-60.158012,-9.3205318,8.1046476,-13.588344,10.887141,-47.47834,-9.2952204,15.774713,-13.894854,10.449442,-52.185112,-9.2476511,9.1658602,-13.894854,10.449442,-52.185112,-9.2476511,15.143193,-14.449678,9.1330204,-49.554615,-10.656526,9.454113,-14.430814,9.1322517,-51.925091,-10.680354
64875000000,13.876765,-14.548605,10.681257,-52.874535,-9.3271236,8.7951288,-13.558613,10.886452,-46.852726,-9.2983541,15.117641,-13.526226,10.445956,-43.44001,-9.2562027,9.9081507,-13.526226,10.445956,-43.44001,-9.2562027,14.498452,-14.279553,9.1292315,-51.703297,-10.641853,10.080026,-14.314436,9.1267366,-47.956615,-10.66235
64892000000,-5.4895949,-14.502672,10.672217,-50.808514,-9.288765,9.8473816,-13.365658,10.878315,-53.601749,-9.2504349,0.040836152,-13.444536,10.436067,-51.721397,-9.2420282,11.009265,-13.444536,10.436067,-51.721397,-9.2420282,3.444684,-14.125824,9.1204815,-56.775246,-10.658141,11.205208,-14.06173,9.1197815,-55.065212,-10.671959
64909000000,9.5181484,-14.853789,10.682324,-65.934296,-9.24932,10.256322,-13.500773,10.884936,-81.592804,-9.2083321,10.709802,-13.494478,10.445577,-54.323105,-9.2547626,11.62464,-13.494478,10.445577,-54.323105,-9.2547626,9.9435358,-14.158095,9.1251001,-46.513763,-10.692072,11.621531,-14.259797,9.1243458,-47.757843,-10.692614
64926000000,8.8744354,-15.168866,10.672866,-59.196419,-9.2626925,10.222136,-13.725911,10.876732,-47.32262,-9.2121382,9.2470121,-13.896597,10.443141,-52.13932,-9.3090048,11.520586,-13.896597,10.443141,-52.13932,-9.3090048,9.3925524,-14.5067,9.1200895,-50.997322,-10.765564,11.555166,-14.606477,9.1176853,-58.08469,-10.746459
64943000000,8.9422207,-15.665808,10.650152,-50.192871,-9.3645277,9.7121639,-14.032605,10.851151,-50.775692,-9.3029833,9.8963289,-14.188051,10.425254,-46.752209,-9.3966389,11.040054,-14.188051,10.425254,-46.752209,-9.3966389,9.9172802,-14.980111,9.1011677,-52.297894,-10.86151,11.234071,-14.937166,9.0969706,-44.796047,-10.832006
64960000000,15.133238,-15.443388,10.628931,-53.155682,-9.4826927,8.9776096,-14.048392,10.832386,-48.407467,-9.4455223,16.370823,-14.40703,10.4081,-52.360794,-9.4893789,10.142343,-14.40703,10.4081,-52.360794,-9.4893789,15.701168,-15.065292,9.0825596,-52.972103,-10.922102,10.433622,-15.009093,9.0794249,-42.968994,-10.925519
64977000000,18.111225,-15.122451,10.591195,-55.483807,-9.6092901,8.4592476,-13.835758,10.79401,-48.858173,-9.5837288,19.462933,-14.213619,10.366398,-52.272354,-9.5503759,9.5344324,-14.213619,10.366398,-52.272354,-9.5503759,18.753826,-14.578177,9.0452766,-44.327042,-10.959357,9.9551706,-14.796634,9.0427771,-57.295471,-10.984572
64994000000,11.282616,-14.509158,10.559501,-42.388565,-9.6535969,9.6582174,-13.620079,10.766779,-52.502369,-9.6303396,12.57334,-13.775732,10.331902,-50.484604,-9.5504684,10.137754,-13.775732,10.331902,-50.484604,-9.5504684,11.714211,-14.542111,9.0114908,-48.342659,-10.951007,10.410454,-14.368153,9.0128622,-51.761093,-11.008077
65011000000,7.332468,-14.555056,10.554865,-55.145748,-9.6232338,9.9628811,-13.303213,10.761033,-47.016319,-9.5931902,7.5123944,-13.538383,10.321557,-49.903652,-9.5262032,10.432534,-13.538383,10.321557,-49.903652,-9.5262032,8.1420164,-14.01392,8.9981365,-48.163204,-10.953903,10.764896,-14.08241,9.0013227,-48.189896,-11.005945
65028000000,3.3472137,-14.524003,10.554992,-45.583599,-9.5655527,9.372426,-13.413331,10.76135,-52.092888,-9.5192337,4.7347722,-13.357882,10.320951,-51.773052,-9.5185165,10.139099,-13.357882,10.320951,-51.773052,-9.5185165,6.9238648,-14.175953,9.0010386,-47.719086,-11.02793,10.300029,-14.035677,9.0002327,-55.139088,-11.019725
65045000000,5.1743789,-15.030834,10.557947,-49.331902,-9.5764275,9.8445005,-13.375915,10.758827,-47.674686,-9.501277,5.8998857,-13.565099,10.32548,-60.82391,-9.5791187,10.676418,-13.565099,10.32548,-60.82391,-9.5791187,6.3382516,-14.255794,9.0051451,-54.907421,-11.113757,10.759498,-14.210018,9.0007925,-55.54916,-11.096851
